(A1) CITY;(A2) PROVINCE;(B3) GENDER;(B4) AGE;(B5) RELIGION;(B6) ETHNIC;(B7) EDUCATION LEVEL;(B8) LIVED IN URBAN AREA (YEARS);(B9) OCCUPATION;(B10) SOCIAL CLAS;(B11) HOUSEHOLD MEMBER;(C12) HOUSEHOLD INCOME (MONTHLY IN MILLION IDR);(C13) TIME OF INCOME RECEIPT;(C14) HOUSEHOLD EXPENDITURE (MONTHLY IN MILLION IDR);(C15) % MONTHLY EXPENDITURE FOR FOOD;(D16) HEALTH FACTOR;(D17) PRICE FACTOR);(E18) RELIGIOUS VALUE IN TYPE OF FOOD;(E19) RELIGIOUS VALUE IN EATING PLACES;(E20) RELIGIOUS VALUE IN CONSUMPTION PATTERN;(E21) CUSTOM VALUE IN TYPE OF FOOD;(E22) CUSTOM VALUE IN EATING PLACES;(E23) CUSTOM VALUE IN CONSUMPTION PATTERN;(24) PRACTICE OF FOOD CONSUMPTION BASED ON RELIGIOUS RULES;(25) PRACTICE OF FOOD CONSUMPTION BASED ON CUSTOM RULES;(E26) BUYING FOOD PRODUCT IN THE RIGHT PLACE BASED ON RELIGIOUS RULES;(E27 TYPE OF DISHES VARIATION BASED ON RELIGIOUS RULES;(E28) PRACTICE OF CONSUMING TRADITIONAL FOOD;
Jakarta;DKI Jakarta;Female;63;Islam;Java;Senior High School;33;Police Officer?/Army;Upper Class;5;15:07;Monthly;15:03;23;Agree;Agree;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;
Jakarta;DKI Jakarta;Female;28;Islam;Java;Diploma;28;Private Employees;Upper Class;6;13:02;Monthly;12:08;25;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;30;Islam;Java;Senior High School;30;Private Employees;Lower Class;5;3:04;Daily;3:00;57;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;61;Islam;Minang;Senior High School;31;Private Employees;Middle Class;5;6:08;Weekly;6:04;43;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;
Jakarta;DKI Jakarta;Male;26;Catholic;Batak;Master and doctoral degree;26;Enterpreneur;Middle Class;6;4:08;Weekly;4:04;38;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Strongly Agree;Agree;Agree;Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Jakarta;DKI Jakarta;Male;27;Catholic;Batak;Master and doctoral degree;27;Enterpreneur;Lower Class;6;2:09;Daily;2:05;61;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;31;Protestant;Java;Bachelor degree;11;Enterpreneur;Middle Class;7;3:05;Weekly;3:01;58;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;
Bandung;West Java;Female;36;Islam;Minang;Diploma;21;Enterpreneur;Middle Class;6;5:07;Weekly;5:03;34;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;56;Islam;Sunda;Master and doctoral degree;24;Government Employees;Upper Class;6;11:03;Monthly;10:09;26;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Neither agree nor disagree;Agree;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Bandung;West Java;Male;63;Islam;Sunda;Bachelor degree;13;Government Employees;Lower Class;7;2:07;Daily;2:03;57;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Agree;
Bandung;West Java;Male;54;Islam;Sunda;Master and doctoral degree;24;Government Employees;Upper Class;8;10:01;Monthly;9:07;24;Agree;Strongly Disagree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;36;Islam;Sunda;Bachelor degree;36;Government Employees;Upper Class;7;12:05;Monthly;12:01;27;Strongly Agree;Strongly Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;52;Islam;Sunda;Bachelor degree;21;Government Employees;Middle Class;7;3:02;Weekly;2:08;67;Neither agree nor disagree;Agree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;63;Catholic;Java;Bachelor degree;25;Private Employees;Middle Class;7;6:02;Weekly;5:08;36;Neither agree nor disagree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;54;Catholic;Sunda;Bachelor degree;32;Private Employees;Middle Class;7;6:04;Weekly;6:00;42;Disagree;Agree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Disagree;Agree;Disagree;Disagree;
Bandung;West Java;Female;30;Catholic;Batak;Senior High School;10;Private Employees;Lower Class;5;3:07;Daily;3:03;73;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;43;Islam;Sunda;Primary School;43;Private Employees;Lower Class;6;5:09;Daily;5:05;41;Disagree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;
Bandung;West Java;Female;29;Islam;Sunda;Diploma;29;Enterpreneur;Middle Class;6;6:07;Weekly;6:03;33;Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;
Bandung;West Java;Female;36;Islam;Java;Bachelor degree;22;Enterpreneur;Upper Class;6;10:09;Monthly;10:05;19;Neither agree nor disagree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;33;Islam;Minang;Junior High School;33;Enterpreneur;Lower Class;6;3:09;Daily;3:05;69;Disagree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Bandung;West Java;Male;60;Islam;Bugis;Primary School;20;Enterpreneur;Lower Class;6;9:08;Daily;9:04;23;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;54;Islam;Java;Bachelor degree;24;Enterpreneur;Middle Class;7;9:06;Weekly;9:05;25;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Agree;Agree;
Bandung;West Java;Female;30;Protestant;Batak;Bachelor degree;30;Enterpreneur;Middle Class;6;3:06;Weekly;3:05;58;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;45;Catholic;Batak;Senior High School;23;Government Employees;Upper Class;5;5:07;Monthly;5:06;44;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Agree;
Bandung;West Java;Male;32;Catholic;Other;Diploma;23;Government Employees;Lower Class;6;6:04;Daily;6:03;35;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;25;Islam;Sunda;Senior High School;12;Government Employees;Lower Class;5;3:04;Daily;3:03;59;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;31;Islam;Sunda;Bachelor degree;31;Government Employees;Middle Class;5;2:09;Weekly;2:08;65;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;27;Islam;Java;Master and doctoral degree;27;Government Employees;Middle Class;6;5:06;Weekly;5:05;41;Strongly Agree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Bandung;West Java;Male;52;Islam;Java;Primary School;22;Government Employees;Upper Class;6;11:02;Monthly;11:01;26;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Bandung;West Java;Female;60;Islam;Sunda;Bachelor degree;30;Government Employees;Upper Class;7;3:07;Monthly;3:06;76;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;
Bandung;West Java;Female;25;Islam;Sunda;Junior High School;25;Enterpreneur;Upper Class;6;10:06;Monthly;10:05;22;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Neither agree nor disagree;Agree;Agree;
Bandung;West Java;Female;31;Catholic;Java;Diploma;21;Enterpreneur;Middle Class;6;5:06;Weekly;5:05;18;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;
Bandung;West Java;Female;36;Islam;Java;Bachelor degree;12;Enterpreneur;Lower Class;7;3:04;Daily;3:03;57;Disagree;Disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;
Bandung;West Java;Female;34;Islam;Java;Master and doctoral degree;34;Enterpreneur;Middle Class;8;6:08;Weekly;6:07;43;Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Agree;
Bandung;West Java;Female;64;Islam;Sunda;Bachelor degree;23;Enterpreneur;Middle Class;7;4:08;Weekly;4:07;38;Agree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;
Bandung;West Java;Female;24;Hindu;Other;Bachelor degree;24;Enterpreneur;Lower Class;7;2:09;Daily;2:08;61;Agree;Disagree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;
Bandung;West Java;Female;47;Protestant;Other;Bachelor degree;24;Independent Worker;Lower Class;7;3:05;Daily;3:04;58;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;
Bandung;West Java;Female;28;Catholic;Sunda;Bachelor degree;28;Independent Worker;Middle Class;7;5:07;Weekly;5:06;34;Agree;Disagree;Agree;Strongly Agree;Agree;Agree;Disagree;Disagree;Disagree;Agree;Agree;Agree;Agree;
Bandung;West Java;Female;48;Catholic;Sunda;Senior High School;48;Independent Worker;Upper Class;5;11:03;Monthly;11:02;26;Agree;Disagree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;
Bandung;West Java;Male;26;Islam;Sunda;Diploma;6;Independent Worker;Lower Class;6;2:07;Daily;2:06;57;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Agree;
Bandung;West Java;Male;39;Islam;Minang;Master and doctoral degree;21;Independent Worker;Upper Class;6;10:01;Monthly;10:00;24;Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Agree;
Bandung;West Java;Male;53;Islam;Sunda;Bachelor degree;32;Independent Worker;Upper Class;6;12:05;Monthly;12:04;27;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;57;Islam;Sunda;Bachelor degree;31;Private Employees;Lower Class;6;3:04;Daily;3:01;67;Neither agree nor disagree;Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Neither agree nor disagree;Agree;Agree;
Bandung;West Java;Female;46;Islam;Java;Senior High School;24;Private Employees;Middle Class;5;6:08;Weekly;6:05;36;Disagree;Disagree;Agree;Strongly Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Disagree;Disagree;
Bandung;West Java;Male;53;Protestant;Sunda;Master and doctoral degree;30;Private Employees;Middle Class;6;4:08;Weekly;4:05;42;Agree;Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Neither agree nor disagree;Agree;Agree;
Bandung;West Java;Male;58;Protestant;Java;Senior High School;29;Private Employees;Lower Class;5;2:09;Daily;2:06;73;Disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Agree;
Bandung;West Java;Male;50;Catholic;Sunda;Senior High School;10;Government Employees;Middle Class;5;3:05;Weekly;3:02;41;Agree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Agree;
Bandung;West Java;Female;54;Catholic;Batak;Diploma;14;Government Employees;Middle Class;6;5:07;Weekly;5:04;33;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;
Bandung;West Java;Female;49;Islam;Sunda;Diploma;19;Enterpreneur;Upper Class;6;11:03;Monthly;11:00;19;Strongly Agree;Strongly Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;
Bandung;West Java;Female;23;Islam;Sunda;Bachelor degree;23;Enterpreneur;Lower Class;7;2:07;Daily;2:04;69;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;
Bandung;West Java;Female;41;Islam;Other;Diploma;41;Enterpreneur;Upper Class;6;10:01;Monthly;9:08;23;Agree;Strongly Disagree;Agree;Disagree;Agree;Agree;Disagree;Disagree;Disagree;Agree;Agree;Agree;Agree;
Bandung;West Java;Female;62;Islam;Java;Primary School;22;Private Employees;Upper Class;6;12:05;Monthly;12:02;25;Strongly Agree;Strongly Disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;54;Islam;Java;Bachelor degree;23;Private Employees;Lower Class;7;3:08;Daily;3:05;57;Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;
Bandung;West Java;Male;50;Islam;Sunda;Master and doctoral degree;30;Private Employees;Middle Class;8;6:02;Weekly;5:09;43;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;
Bandung;West Java;Female;34;Islam;Sunda;Bachelor degree;34;Private Employees;Middle Class;7;5:08;Weekly;5:04;38;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;39;Islam;Sunda;Bachelor degree;39;Private Employees;Lower Class;7;3:01;Daily;2:07;61;Neither agree nor disagree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;31;Catholic;Sunda;Bachelor degree;31;Private Employees;Lower Class;7;3:04;Daily;3:00;58;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;27;Islam;Other;Bachelor degree;27;Private Employees;Middle Class;7;5:06;Weekly;5:02;34;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;37;Islam;Java;Senior High School;37;Teacher?/Lecturer;Upper Class;5;12:01;Monthly;11:07;26;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Bandung;West Java;Male;56;Islam;Minang;Bachelor degree;17;Teacher?/Lecturer;Lower Class;6;2:09;Daily;2:05;57;Neither agree nor disagree;Strongly Agree;Disagree;Strongly Agree;Disagree;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;54;Islam;Minang;Bachelor degree;27;Government Employees;Upper Class;6;10:03;Monthly;9:09;24;Strongly Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Bandung;West Java;Female;62;Islam;Minang;Junior High School;21;Government Employees;Upper Class;6;14:02;Monthly;13:08;27;Neither agree nor disagree;Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;56;Islam;Sunda;Master and doctoral degree;26;Government Employees;Lower Class;6;3:04;Daily;3:01;67;Neither agree nor disagree;Strongly Disagree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;51;Catholic;Sunda;Senior High School;21;Government Employees;Middle Class;5;6:07;Weekly;6:04;36;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;37;Catholic;Batak;Diploma;13;Government Employees;Middle Class;6;5:08;Weekly;5:05;42;Agree;Agree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Agree;Agree;Agree;
Bandung;West Java;Female;42;Catholic;Other;Senior High School;22;Police Officer?/Army;Lower Class;5;2:03;Daily;2:00;73;Disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;
Bandung;West Java;Female;49;Islam;Sunda;Senior High School;26;Police Officer?/Army;Middle Class;5;4:09;Weekly;4:06;41;Agree;Agree;Agree;Strongly Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Agree;Agree;Agree;
Bandung;West Java;Female;54;Islam;Sunda;Diploma;35;Private Employees;Middle Class;6;5:09;Weekly;5:06;33;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;33;Islam;Other;Diploma;13;Private Employees;Upper Class;6;11:04;Monthly;11:01;19;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;27;Islam;Sunda;Bachelor degree;12;Government Employees;Lower Class;7;3:00;Daily;2:06;69;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;
Bandung;West Java;Male;35;Islam;Sunda;Master and doctoral degree;35;Police Officer?/Army;Upper Class;6;15:07;Monthly;15:03;23;Neither agree nor disagree;Disagree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;36;Islam;Sunda;Bachelor degree;11;Private Employees;Upper Class;6;13:02;Monthly;12:08;25;Agree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;26;Protestant;Java;Bachelor degree;26;Private Employees;Lower Class;7;3:08;Daily;3:04;58;Agree;Agree;Agree;Disagree;Agree;Agree;Disagree;Disagree;Disagree;Agree;Agree;Agree;Agree;
Bandung;West Java;Female;63;Protestant;Java;Master and doctoral degree;19;Private Employees;Middle Class;8;6:02;Weekly;5:08;44;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;26;Protestant;Java;Bachelor degree;26;Enterpreneur;Middle Class;7;5:08;Weekly;5:04;35;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;
Bandung;West Java;Male;30;Islam;Sunda;Bachelor degree;30;Enterpreneur;Lower Class;7;3:01;Daily;2:07;59;Disagree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;
Bandung;West Java;Female;34;Islam;Sunda;Bachelor degree;34;Enterpreneur;Lower Class;7;3:04;Daily;3:00;65;Neither agree nor disagree;Neither agree nor disagree;Agree;Strongly Agree;Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;32;Islam;Other;Bachelor degree;32;Enterpreneur;Middle Class;7;5:06;Weekly;5:02;41;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;33;Islam;Other;Senior High School;33;Government Employees;Upper Class;5;12:01;Monthly;11:07;26;Strongly Agree;Strongly Disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Male;31;Islam;Other;Diploma;31;Government Employees;Lower Class;6;2:09;Daily;2:05;76;Disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Bandung;West Java;Female;32;Islam;Other;Bachelor degree;32;Government Employees;Upper Class;6;10:03;Monthly;9:09;22;Agree;Strongly Disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Disagree;Strongly Agree;Disagree;Disagree;
