(A1) CITY;(A2) PROVINCE;(B3) GENDER;(B4) AGE;(B5) RELIGION;(B6) ETHNIC;(B7) EDUCATION LEVEL;(B8) LIVED IN URBAN AREA (YEARS);(B9) OCCUPATION;(B10) SOCIAL CLAS;(B11) HOUSEHOLD MEMBER;(C12) HOUSEHOLD INCOME (MONTHLY IN MILLION IDR);(C13) TIME OF INCOME RECEIPT;(C14) HOUSEHOLD EXPENDITURE (MONTHLY IN MILLION IDR);(C15) % MONTHLY EXPENDITURE FOR FOOD;(D16) HEALTH FACTOR;(D17) PRICE FACTOR);(E18) RELIGIOUS VALUE IN TYPE OF FOOD;(E19) RELIGIOUS VALUE IN EATING PLACES;(E20) RELIGIOUS VALUE IN CONSUMPTION PATTERN;(E21) CUSTOM VALUE IN TYPE OF FOOD;(E22) CUSTOM VALUE IN EATING PLACES;(E23) CUSTOM VALUE IN CONSUMPTION PATTERN;(24) PRACTICE OF FOOD CONSUMPTION BASED ON RELIGIOUS RULES;(25) PRACTICE OF FOOD CONSUMPTION BASED ON CUSTOM RULES;(E26) BUYING FOOD PRODUCT IN THE RIGHT PLACE BASED ON RELIGIOUS RULES;(E27 TYPE OF DISHES VARIATION BASED ON RELIGIOUS RULES;(E28) PRACTICE OF CONSUMING TRADITIONAL FOOD;
Denpasar;Bali;Female;26;Islam;Java;Junior High School;26;Government Employees;Middle Class;7;12:05;Weekly;12:01;18;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;30;Islam;Java;Senior High School;30;Government Employees;Lower Class;5;3:02;Daily;2:08;57;Neither agree nor disagree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Agree;
Denpasar;Bali;Female;35;Protestant;Bali;Primary School;35;Private Employees;Middle Class;6;6:02;Weekly;5:08;43;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;27;Protestant;Bali;Junior High School;27;Private Employees;Middle Class;6;6:04;Weekly;6:00;38;Agree;Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Agree;Strongly Agree;Agree;Agree;
Denpasar;Bali;Female;33;Catholic;Bali;Junior High School;33;Private Employees;Lower Class;6;3:07;Daily;3:03;61;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;31;Hindu;Bali;Bachelor degree;31;Private Employees;Lower Class;6;5:09;Daily;5:05;58;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Female;36;Hindu;Bali;Bachelor degree;36;Enterpreneur;Middle Class;6;6:07;Weekly;6:03;34;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Agree;Strongly Agree;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;
Denpasar;Bali;Male;37;Hindu;Bali;Bachelor degree;37;Enterpreneur;Upper Class;7;10:09;Monthly;10:05;26;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Agree;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;
Denpasar;Bali;Male;63;Hindu;Bali;Junior High School;24;Enterpreneur;Lower Class;6;3:09;Daily;3:05;57;Disagree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Agree;Strongly Agree;Strongly Agree;
Denpasar;Bali;Male;26;Hindu;Bali;Junior High School;26;Enterpreneur;Upper Class;6;9:08;Monthly;9:04;24;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;
